,,,,,,,
,,,,,,,
S.NO,Test case ID,Test scenrio,Testcase Tittle,Test case step,Expect Result,Actual Result,Status
1,TC_01,cart,Add  product to the cart,"1.Open the Flipkart application
2.Login with valid credentials
3.Click on any product to open the product details page
4.Click on add to cart

","1.Product should be added to the cart successfully
2.Confirmation message should be displayed (e.g., “Item added to cart”)",Product added to cart and visible on cart page with confirmation message,pass
2,TC_02,cart,Update product quantity from cart,"1.Open the Flipkart application
2.Login with valid credentials
3.Search any product (e.g., iphone)
4.Click on add to cart 
5.Navigate to the Cart page
6.Increase or decrease the product quantity","1.Product quantity should be updated successfully
2.Total price should be updated based on the quantity
3.No error should occur while updating quantity",Product quantity updated successfully and total price recalculated accordingly,pass
3,TC_03,cart,Remove item from cart,"1.Open the Flipkart application
2.Login with valid credentials
3.Search  any product (e.g, iphone)
4.Click on add to cart 
5.Navigate to the Cart page
6.Click on Remove option for the product

","1.Product should be removed from the cart successfully
2.Cart should be updated accordingly
3.If no items left, cart should display “Cart is empty” message",Product removed from cart and cart updated correctly,pass
4,TC_04,cart,Move from Wishlist to Cart,"1.Open the Flipkart application
2.Login with valid credentials
3.search any product (e.g, iphone)
4.Click on add to cart 
5.Navigate to Wishlist page
6.Click on Move to Cart","1.Product should be added to the cart successfully
2.Product should be removed from the wishlist
3.Cart should be updated with the added product",Product moved from wishlist to cart successfully,pass
5,TC_05,Cart,cart persistence after logout,"1.Open the Flipkart application
2.Login with valid credentials
3.Search any product (e.g, iphone)
4.Click on the product and open the product details page
5.Click on add to cart 
6.Navigate to the Cart page and verify the product is added
7.Logout from the application
8.Login again with the same credentials
9.Navigate to the Cart page",Previously added product should still be present in the cart after re-login,Product remains in cart after logout and login,pass
6,TC_06,Cart,Validate adding more than 25 products to cart,"1.Open the Flipkart application
2.Login with valid credentials
3.Seach  any product (e.g, iphone)
4.Click on the product and open the product details page
5.Click on add to cart 
6.Increase the product quantity to more than 25","1.System should restrict adding more than allowed quantity
2.Proper error message should be displayed:
“Maximum quantity limit reached. Please remove existing items to add more.”","System restricts quantity beyond limit and shows validation message

",pass
7,TC_07,Wishlist,Add product to the wishlist,"1.Open the Flipkart application
2.Login with valid credentials
3.Search any product (e.g, iphone)
4.Click on the product and open the product details page
5.Click on the wishlist icon ",Product should be added to the wishlist successfully,Product added to wishlist successfully and visible in wishlist page,pass
